line_a,line_b,overlap,kmer,k,section
akuz[1]sn,akuz[1]sn_eden[plain]n,2,akuz,4,15
akuz[1]sn_eden[plain]n,akuz[1]sn_subir[1]gn,2,akuz,4,15
akuz[1]sn_subir[1]gn,mada[land]n,0,a,1,NA
mada[land]n,mada[land]n_mungen[1]gn,2,land,4,16
mada[land]n_mungen[1]gn,mada[land]n_subir[1]gn,3,land,4,16
mada[land]n_subir[1]gn,mada[land]n_uri[akkad]gn,2,land,4,16
mada[land]n_uri[akkad]gn,mada[land]n_elam[1]gn,2,land,4,16
mada[land]n_elam[1]gn,mada[land]n_kiʾengir[sumer]gn,2,land,4,16
mada[land]n_kiʾengir[sumer]gn,kag[mouth]n_id[river]n,0,er,2,NA
kag[mouth]n_id[river]n,kun[tail]n_id[river]n,2,river,5,17
kun[tail]n_id[river]n,hursaŋ[mountain]n,0,tai,3,17
hursaŋ[mountain]n,hursaŋ[mountain]n_kalam[land]n,2,mountain,8,17
hursaŋ[mountain]n_kalam[land]n,hursaŋ[mountain]n_galam[skilful]v/i,2,mountain,8,17
hursaŋ[mountain]n_galam[skilful]v/i,šuruppak[1]sn,0,ur,2,NA
šuruppak[1]sn,su-kur-ru{ki}[na]na,0,ur,2,NA
su-kur-ru{ki}[na]na,aratta[1]sn,0,r,1,NA
aratta[1]sn,kur[mountain]n,0,r,1,NA
kur[mountain]n,kur[mountain]n,2,mountain,8,18
kur[mountain]n,kur[mountain]n,2,mountain,8,18
kur[mountain]n,kur[mountain]n,2,mountain,8,18
kur[mountain]n,kur[mountain]n_usal[meadow]n,2,mountain,8,18
kur[mountain]n_usal[meadow]n,kur[mountain]n_martu[1]gn,2,mountain,8,18
kur[mountain]n_martu[1]gn,duranki[1]tn,1,ur,2,18
duranki[1]tn,id[river]n,0,i,1,NA
id[river]n,id[river]n,2,river,5,19
id[river]n,idigna[tigris]wn,0,ri,2,NA
idigna[tigris]wn,buranuna[1]wn,0,na,2,NA
buranuna[1]wn,kirsig[1]wn,1,1,1,20
kirsig[1]wn,inun[1]wn,1,1,1,20
inun[1]wn,nunbi-irdu[1]wn,1,nun,3,20
nunbi-irdu[1]wn,{id₂}ga₂-nun-gal[na]na,0,nun,3,20
{id₂}ga₂-nun-gal[na]na,šumundar[1]wn,0,un,2,NA
šumundar[1]wn,enlil-gugal[1]wn,1,1,1,21
enlil-gugal[1]wn,enlil-abzu[1]wn,1,enlil-,6,21
enlil-abzu[1]wn,šuʾabdu[1]wn,1,ab,2,21
šuʾabdu[1]wn,enlil-ŋara[1]wn,1,1,1,21
enlil-ŋara[1]wn,tume-ŋara[1]wn,1,-ŋara,5,21
tume-ŋara[1]wn,magura[1]wn,1,ra,2,21
magura[1]wn,nirah[1]dn,1,ra,2,21
nirah[1]dn,urkug[1]wn,1,1,1,21
urkug[1]wn,kiš[1]sn,1,1,1,21
kiš[1]sn,ensik[1]wn,1,1,1,21
ensik[1]wn,saŋŋa[1]wn,1,1,1,21
saŋŋa[1]wn,guʾena[1]wn,1,1,1,21
guʾena[1]wn,bur-mama[1]wn,1,1,1,21
bur-mama[1]wn,{id₂}{d}en-x[na]na,0,-,1,NA
{id₂}{d}en-x[na]na,tiʾerimdalulal[1]wn,0,i,1,NA
tiʾerimdalulal[1]wn,išartum[1]wn,1,1,1,22
išartum[1]wn,arahtu[1]dn,1,ar,2,22
arahtu[1]dn,id-damgara[1]wn,1,ara,3,22
id-damgara[1]wn,mami-šarrat[1]wn,1,am,2,22
mami-šarrat[1]wn,piriŋginŋen[1]wn,1,1,1,22
piriŋginŋen[1]wn,zahturginŋen[1]wn,1,ginŋen,6,22
zahturginŋen[1]wn,{id₂}ne-zi-bad[na]na,0,i,1,NA
{id₂}ne-zi-bad[na]na,nanne-pada[1]wn,0,ne-,3,23
nanne-pada[1]wn,tabbi-mama[1]wn,1,1,1,23
tabbi-mama[1]wn,luhuŋa[hired-man]cn,0,a,1,NA
luhuŋa[hired-man]cn,id₂-ne[na]na,0,NA,0,NA
id₂-ne[na]na,lugal[1]wn,0,NA,0,NA
lugal[1]wn,idkura[1]wn,1,1,1,24
idkura[1]wn,idgana[1]wn,1,id,2,24
idgana[1]wn,pu[well]n,0,NA,0,NA
pu[well]n,|lagab×u|[na]na,0,u,1,NA
|lagab×u|[na]na,|lagab×u|[na]na,1,|lagab×u|,9,25
|lagab×u|[na]na,pu[well]n_kug[pure]v/i,0,u,1,NA
pu[well]n_kug[pure]v/i,pu[well]n_enki[1]dn,2,well,4,26
pu[well]n_enki[1]dn,pu[well]n_lugalinimgina[1]dn,3,well,4,26
pu[well]n_lugalinimgina[1]dn,pu[well]n_šuziʾana[1]dn,3,well,4,26
pu[well]n_šuziʾana[1]dn,eg[levee]n,0,l,1,NA
eg[levee]n,eg[levee]n_sadur[bottom]n,2,levee,5,27
eg[levee]n_sadur[bottom]n,eg[levee]n_gilim[cross]v/t,2,levee,5,27
eg[levee]n_gilim[cross]v/t,eg[levee]n_murub[middle]n,2,levee,5,27
eg[levee]n_murub[middle]n,eg[levee]n_sisa[fair]aj,2,levee,5,27
eg[levee]n_sisa[fair]aj,eg[levee]n_šibir[staff]n,2,levee,5,27
eg[levee]n_šibir[staff]n,eg[levee]n_dalbana[space]n,2,levee,5,27
eg[levee]n_dalbana[space]n,eg[levee]n_absin[furrow]n,2,levee,5,27
eg[levee]n_absin[furrow]n,eg[levee]n_us₂.a.du[border]n,2,levee,5,27
eg[levee]n_us₂.a.du[border]n,par[canal]n,0,l,1,NA
par[canal]n,par[canal]n_mada[land]n,2,canal,5,28
par[canal]n_mada[land]n,par[canal]n_nukirik[gardener]n,2,canal,5,28
par[canal]n_nukirik[gardener]n,par[canal]n_a[water]n_bala[turn]v/t,2,canal,5,28
par[canal]n_a[water]n_bala[turn]v/t,par[canal]n_a[water]n_dug[speak]v/t,4,canal,5,28
par[canal]n_a[water]n_dug[speak]v/t,par[canal]n_agar[lead]n,2,canal,5,28
par[canal]n_agar[lead]n,par[canal]n_illu[water]n,2,canal,5,28
par[canal]n_illu[water]n,par[canal]n_ala[device]n,2,canal,5,28
par[canal]n_ala[device]n,mul[star]n,0,a,1,NA
mul[star]n,mul[star]n,2,star,4,29
mul[star]n,gula[1]dn,0,ul,2,NA
gula[1]dn,zukeš[knot]cn,0,u,1,NA
zukeš[knot]cn,musir[1]cn,0,u,1,NA
musir[1]cn,entena-barhum[1]cn,1,1,1,30
entena-barhum[1]cn,tir-ana[rainbow]cn,0,na,2,NA
tir-ana[rainbow]cn,ninsiʾana[1]dn,0,ana,3,31
ninsiʾana[1]dn,sipadzid-anak[true-shepherd-of-an]cn,0,ana,3,31
sipadzid-anak[true-shepherd-of-an]cn,apin[plow]cn,0,p,1,NA
apin[plow]cn,margida[wagon]cn,0,w,1,NA
margida[wagon]cn,addir[ferry]cn,0,a,1,NA
addir[ferry]cn,gigir[chariot]cn,0,ir,2,NA
gigir[chariot]cn,lulim[stag]cn,0,t,1,NA
lulim[stag]cn,udutil[sheep]n,0,s,1,NA
udutil[sheep]n,uga[raven]cn,0,e,1,NA
uga[raven]cn,saŋduʾa[1]cn,0,a,1,NA
saŋduʾa[1]cn,muš[snake]cn,0,u,1,NA
muš[snake]cn,balaŋ[drum]cn,0,NA,0,NA
balaŋ[drum]cn,ŋirtab[scorpion]cn,0,r,1,NA
ŋirtab[scorpion]cn,pana[bow]cn,0,o,1,NA
pana[bow]cn,uzud[goat]cn,0,o,1,NA
uzud[goat]cn,elam[1]gn,0,NA,0,NA
elam[1]gn,misih-pabilsaŋ[flare-of-pabilsag]cn,0,m,1,NA
misih-pabilsaŋ[flare-of-pabilsag]cn,šurina-numunkušene[oven-of-the-widows]cn,0,-of-,4,32
šurina-numunkušene[oven-of-the-widows]cn,luhuŋa[hired-man]cn,0,h,1,NA
luhuŋa[hired-man]cn,eš[rope]n,0,r,1,NA
eš[rope]n,ebih[rope]n,1,rope,4,33
ebih[rope]n,eš[rope]n_magid[boatman]n,1,rope,4,33
eš[rope]n_magid[boatman]n,eš[rope]n_gud-tug₂[na]na,2,rope,4,33
eš[rope]n_gud-tug₂[na]na,eš₂-ud[na]na,0,eš,2,NA
eš₂-ud[na]na,saman[rope]n,0,NA,0,NA
saman[rope]n,eš[rope]n_pu[well]n,1,rope,4,34
eš[rope]n_pu[well]n,eš[rope]n_pel[defile]v/t,2,rope,4,34
eš[rope]n_pel[defile]v/t,eš[rope]n_šusar[string]n,2,rope,4,34
eš[rope]n_šusar[string]n,eš[rope]n_šusar[string]n_anta[upper]v/t,4,string,6,34
eš[rope]n_šusar[string]n_anta[upper]v/t,eš[rope]n_diš[one]nu_kuš[unit]n,2,rope,4,34
eš[rope]n_diš[one]nu_kuš[unit]n,eš[rope]n_sa[half]n_kuš[unit]n,4,rope,4,34
eš[rope]n_sa[half]n_kuš[unit]n,eš[rope]n_anta[upper]v/t,2,rope,4,34
eš[rope]n_anta[upper]v/t,eš[rope]n_saŋ[head]n,2,rope,4,34
eš[rope]n_saŋ[head]n,eš[rope]n_absaŋ[strap]n,2,rope,4,34
eš[rope]n_absaŋ[strap]n,eš[rope]n_absaŋ[strap]n_murub[middle]n,4,strap,5,34
eš[rope]n_absaŋ[strap]n_murub[middle]n,eš[rope]n_peš[thick]v/i,2,rope,4,34
eš[rope]n_peš[thick]v/i,eš[rope]n_peš[thick]v/i_murgu[shoulder]n,4,thick,5,34
eš[rope]n_peš[thick]v/i_murgu[shoulder]n,eš[rope]n_pešturzi[descendants]n,2,rope,4,34
eš[rope]n_pešturzi[descendants]n,peš[thick]v/i,0,peš,3,34
peš[thick]v/i,peš[thick]v/i_murgu[shoulder]n,2,thick,5,34
peš[thick]v/i_murgu[shoulder]n,pešturzi[descendants]n,0,peš,3,34
pešturzi[descendants]n,unknown,0,n,1,NA
unknown,nisaba[1]dn_zamin[lyre]n,0,n,1,NA
